Total 1 configurations will be processed in 1 threads
parsing download/uni-short-btcusdc-1m.json
mapped_file::open: base=0x7f9116e00000
download/uni-short-btcusdc-1m.json: load 226081 elements
parsing took 0.132 sec
parsing download/uni-short-ethusdc-1m.json
mapped_file::open: base=0x7f9116e00000
download/uni-short-ethusdc-1m.json: load 226081 elements
parsing took 0.133 sec
parsing download/uni-short-ethbtc-1m.json
mapped_file::open: base=0x7f9116c00000
download/uni-short-ethbtc-1m.json: load 226081 elements
parsing took 0.130 sec
sorting took 0.177 sec
1.0000000000000000 93232.6346195622172672 3331.8023377815734420 
Using temp file '_tmp.31699' as interprocedural connect
mapped_file::open: base=0x7f9105400000
[0]: simulation thread started
[0]: pick up configuration 0
Configuration 0: begin simulation
t=1736723875 7.6%	trades: 0	AMM: 94350.620, 3250.028	Target: 94367.663, 3265.897	Vol: 6626536.3251	PR:0.50	xCP-growth: {1.0005523761}	APY:1.7%	fee:0.272% .
t=1736734115 7.7%	trades: 0	AMM: 94166.855, 3275.893	Target: 94651.773, 3281.490	Vol: 6981634.5339	PR:0.50	xCP-growth: {1.0005709952}	APY:1.7%	fee:0.326% .
t=1736744355 7.8%	trades: 0	AMM: 94425.553, 3251.445	Target: 94522.673, 3273.771	Vol: 7052364.2788	PR:0.50	xCP-growth: {1.0005772613}	APY:1.7%	fee:0.315% .
t=1736754595 7.9%	trades: 0	AMM: 93747.383, 3203.693	Target: 94494.330, 3264.687	Vol: 7112671.9067	PR:0.50	xCP-growth: {1.0005853386}	APY:1.7%	fee:0.574% .
t=1736764835 7.9%	trades: 0	AMM: 92360.829, 3137.265	Target: 94202.459, 3245.234	Vol: 7187514.9514	PR:0.50	xCP-growth: {1.0006001732}	APY:1.8%	fee:0.820% .
t=1736775075 8.0%	trades: 0	AMM: 92082.772, 3061.673	Target: 92916.109, 3184.655	Vol: 7326384.7564	PR:0.50	xCP-growth: {1.0006371954}	APY:1.9%	fee:0.877% .
t=1736785315 8.1%	trades: 0	AMM: 91736.211, 3054.111	Target: 92098.810, 3074.675	Vol: 7689064.7281	PR:0.50	xCP-growth: {1.0007060790}	APY:2.1%	fee:0.397% .
t=1736795555 8.2%	trades: 0	AMM: 91736.211, 3007.973	Target: 92032.195, 3066.431	Vol: 7733339.5408	PR:0.50	xCP-growth: {1.0007115537}	APY:2.0%	fee:0.589% .
t=1736805795 8.2%	trades: 0	AMM: 92802.639, 3097.174	Target: 92355.525, 3045.256	Vol: 7967967.4727	PR:0.50	xCP-growth: {1.0007372267}	APY:2.1%	fee:0.556% .
t=1736816035 8.3%	trades: 0	AMM: 93792.914, 3121.788	Target: 92404.465, 3049.131	Vol: 7995890.0727	PR:0.50	xCP-growth: {1.0007435104}	APY:2.1%	fee:0.681% .
t=1736826275 8.4%	trades: 0	AMM: 93792.914, 3144.104	Target: 92543.310, 3056.036	Vol: 8018586.2727	PR:0.50	xCP-growth: {1.0007468615}	APY:2.1%	fee:0.754% .
t=1736836515 8.5%	trades: 0	AMM: 93792.914, 3151.142	Target: 92543.310, 3056.036	Vol: 8025479.0727	PR:0.50	xCP-growth: {1.0007496085}	APY:2.1%	fee:0.785% .
t=1736846755 8.5%	trades: 0	AMM: 93792.914, 3201.067	Target: 92780.735, 3071.907	Vol: 8075265.2727	PR:0.50	xCP-growth: {1.0007611453}	APY:2.1%	fee:0.913% .
t=1736856995 8.6%	trades: 0	AMM: 96165.890, 3216.549	Target: 93012.194, 3089.364	Vol: 8107591.6727	PR:0.50	xCP-growth: {1.0007658532}	APY:2.1%	fee:0.943% .
t=1736867235 8.7%	trades: 0	AMM: 96060.363, 3211.879	Target: 93012.194, 3089.364	Vol: 8126664.2947	PR:0.50	xCP-growth: {1.0007745600}	APY:2.1%	fee:0.915% .
t=1736877475 8.8%	trades: 0	AMM: 96060.363, 3204.109	Target: 93012.194, 3089.364	Vol: 8137646.7665	PR:0.50	xCP-growth: {1.0007793955}	APY:2.1%	fee:0.877% .
t=1736887715 8.8%	trades: 0	AMM: 95970.623, 3204.109	Target: 93317.011, 3099.549	Vol: 8141363.5665	PR:0.50	xCP-growth: {1.0007732125}	APY:2.1%	fee:0.839% .
t=1736897955 8.9%	trades: 0	AMM: 95970.623, 3208.405	Target: 93317.011, 3099.549	Vol: 8144636.1665	PR:0.50	xCP-growth: {1.0007746109}	APY:2.0%	fee:0.852% .
t=1736908195 9.0%	trades: 0	AMM: 96256.185, 3213.402	Target: 93317.011, 3099.549	Vol: 8155275.5665	PR:0.50	xCP-growth: {1.0007792975}	APY:2.0%	fee:0.887% .
