Total 1 configurations will be processed in 1 threads
parsing download/binance-short-btcusdt-1m-processed.json
mapped_file::open: base=0x7f469dc00000
download/binance-short-btcusdt-1m-processed.json: load 226080 elements
parsing took 0.104 sec
parsing download/binance-short-ethusdt-1m-processed.json
mapped_file::open: base=0x7f469dc00000
download/binance-short-ethusdt-1m-processed.json: load 226080 elements
parsing took 0.103 sec
parsing download/binance-short-ethbtc-1m-processed.json
mapped_file::open: base=0x7f469de00000
download/binance-short-ethbtc-1m-processed.json: load 226080 elements
parsing took 0.103 sec
sorting took 0.173 sec
1.0000000000000000 93488.8399999999965075 3340.0399999999999636 
Using temp file '_tmp.31465' as interprocedural connect
mapped_file::open: base=0x7f4664e00000
[0]: simulation thread started
[0]: pick up configuration 0
Configuration 0: begin simulation
t=1736320855 4.7%	trades: 0	AMM: 97326.496, 3338.762	Target: 97990.048, 3479.613	Vol: 3351868.1307	PR:0.50	xCP-growth: {1.0002866618}	APY:1.4%	fee:0.899% .
t=1736331095 4.8%	trades: 0	AMM: 97326.496, 3347.779	Target: 97990.048, 3479.613	Vol: 3359316.3307	PR:0.50	xCP-growth: {1.0002898794}	APY:1.4%	fee:0.871% .
t=1736341335 4.8%	trades: 0	AMM: 95448.321, 3347.779	Target: 97923.692, 3468.290	Vol: 3382698.8649	PR:0.50	xCP-growth: {1.0002940780}	APY:1.4%	fee:0.883% .
t=1736351575 4.9%	trades: 0	AMM: 95449.822, 3366.047	Target: 97676.156, 3456.445	Vol: 3431362.4302	PR:0.50	xCP-growth: {1.0003048463}	APY:1.5%	fee:0.776% .
t=1736361815 5.0%	trades: 0	AMM: 93563.532, 3308.948	Target: 96297.123, 3385.182	Vol: 3607302.0118	PR:0.50	xCP-growth: {1.0003429918}	APY:1.6%	fee:0.656% .
t=1736372055 5.1%	trades: 0	AMM: 93563.532, 3289.887	Target: 96297.123, 3385.182	Vol: 3626714.8975	PR:0.51	xCP-growth: {1.0003500951}	APY:1.6%	fee:0.753% .
t=1736382295 5.1%	trades: 0	AMM: 93563.532, 3311.899	Target: 96023.764, 3376.202	Vol: 3647625.6975	PR:0.50	xCP-growth: {1.0003501100}	APY:1.6%	fee:0.589% .
t=1736392535 5.2%	trades: 0	AMM: 94045.156, 3327.494	Target: 95582.996, 3366.057	Vol: 3742145.1075	PR:0.50	xCP-growth: {1.0003635434}	APY:1.6%	fee:0.491% .
t=1736402775 5.3%	trades: 0	AMM: 94045.156, 3327.494	Target: 95582.996, 3366.057	Vol: 3742145.1075	PR:0.50	xCP-growth: {1.0003635434}	APY:1.6%	fee:0.491% .
t=1736413015 5.4%	trades: 0	AMM: 93477.047, 3311.418	Target: 95240.145, 3354.023	Vol: 3814959.2401	PR:0.50	xCP-growth: {1.0003755875}	APY:1.6%	fee:0.577% .
