Total 1 configurations will be processed in 1 threads
parsing download/binance-short-btcusdt-1m-processed.json
mapped_file::open: base=0x7f09fdc00000
download/binance-short-btcusdt-1m-processed.json: load 226080 elements
parsing took 0.107 sec
parsing download/binance-short-ethusdt-1m-processed.json
mapped_file::open: base=0x7f09fde00000
download/binance-short-ethusdt-1m-processed.json: load 226080 elements
parsing took 0.103 sec
parsing download/binance-short-ethbtc-1m-processed.json
mapped_file::open: base=0x7f09f9800000
download/binance-short-ethbtc-1m-processed.json: load 226080 elements
parsing took 0.107 sec
sorting took 0.177 sec
1.0000000000000000 93488.8399999999965075 3340.0399999999999636 
Using temp file '_tmp.31481' as interprocedural connect
mapped_file::open: base=0x7f09c4200000
[0]: simulation thread started
[0]: pick up configuration 0
Configuration 0: begin simulation
t=1736781655 8.1%	trades: 0	AMM: 92785.266, 3062.500	Target: 91564.390, 3034.647	Vol: 31924532.7551	PR:0.50	xCP-growth: {1.0005459927}	APY:1.6%	fee:0.078% *
t=1736791895 8.2%	trades: 0	AMM: 92232.320, 3019.307	Target: 92005.456, 3021.727	Vol: 33808584.8498	PR:0.50	xCP-growth: {1.0005695043}	APY:1.6%	fee:0.038% .
t=1736802135 8.2%	trades: 0	AMM: 93811.458, 3102.768	Target: 92477.977, 3035.256	Vol: 35346630.7014	PR:0.50	xCP-growth: {1.0005896611}	APY:1.7%	fee:0.109% *
t=1736812375 8.3%	trades: 0	AMM: 94311.905, 3138.096	Target: 92886.578, 3054.351	Vol: 35560374.4184	PR:0.50	xCP-growth: {1.0005954210}	APY:1.7%	fee:0.121% *
t=1736822615 8.4%	trades: 0	AMM: 94901.771, 3162.874	Target: 93223.852, 3069.236	Vol: 35726193.2159	PR:0.50	xCP-growth: {1.0006010868}	APY:1.7%	fee:0.138% *
t=1736832855 8.5%	trades: 1	AMM: 95325.791, 3170.041	Target: 93223.852, 3069.236	Vol: 35793041.4160	PR:0.50	xCP-growth: {1.0006057851}	APY:1.7%	fee:0.145% .
t=1736843095 8.5%	trades: 0	AMM: 95704.548, 3181.383	Target: 93432.325, 3079.415	Vol: 35881290.8892	PR:0.50	xCP-growth: {1.0006088581}	APY:1.7%	fee:0.146% .
t=1736853335 8.6%	trades: 0	AMM: 97193.724, 3228.461	Target: 93826.614, 3102.246	Vol: 36021532.0852	PR:0.50	xCP-growth: {1.0006144243}	APY:1.7%	fee:0.174% .
t=1736863575 8.7%	trades: 0	AMM: 96174.142, 3210.374	Target: 94620.636, 3135.460	Vol: 36303187.8888	PR:0.50	xCP-growth: {1.0006239395}	APY:1.7%	fee:0.110% .
t=1736873815 8.8%	trades: 0	AMM: 95731.033, 3183.696	Target: 95240.838, 3158.978	Vol: 36686181.0868	PR:0.50	xCP-growth: {1.0006322733}	APY:1.7%	fee:0.070% *
t=1736884055 8.8%	trades: 0	AMM: 96953.265, 3230.249	Target: 95472.359, 3170.661	Vol: 36857388.8112	PR:0.50	xCP-growth: {1.0006348054}	APY:1.7%	fee:0.102% *
t=1736894295 8.9%	trades: 1	AMM: 96406.923, 3228.252	Target: 95584.010, 3174.832	Vol: 36990721.4286	PR:0.50	xCP-growth: {1.0006384924}	APY:1.7%	fee:0.089% *
